,Word,isNeologism
30752,a,0
0,aalenian,1
30753,aba,0
1,abac,1
2,abacă,1
30754,abagiu,0
30755,abagiubă,0
3,abajur,1
4,abandon,1
5,abandona,1
6,abandonabil,1
30756,abanos,0
7,abataj,1
8,abatesă,1
9,abatiză,1
10,abator,1
11,abaxial,1
12,abazie,1
13,abație,1
14,abces,1
15,abdica,1
16,abdicațiune,1
17,abdomen,1
18,abdominal,1
19,abdominalgie,1
20,abductor,1
21,abducție,1
22,abecedar,1
23,aberant,1
24,aberanță,1
25,aberativ,1
26,aberație,1
27,aberoscop,1
28,abhora,1
30757,abia,0
29,abietacee,1
30,abietinee,1
31,abil,1
32,abilita,1
33,abilitate,1
34,abiogen,1
35,abiogeneză,1
36,abiologie,1
37,abiotic,1
38,abiotrofie,1
39,abioză,1
40,abis,1
41,abisal,1
42,abitație,1
30758,abitir,0
43,abject,1
44,abjecție,1
45,abjudeca,1
46,abjura,1
47,ablactare,1
48,ablativ,1
49,ablație,1
50,ablațiune,1
51,ablefarie,1
52,ablegat,1
53,ablepsie,1
54,abluțiune,1
55,abnega,1
56,abnegație,1
57,aboli,1
58,aboliție,1
59,aboliționism,1
60,aboliționist,1
61,abolițiune,1
62,abominabil,1
63,abominațiune,1
64,abona,1
65,abonament,1
66,aborda,1
67,abordabil,1
68,abordaj,1
69,aborigen,1
70,abortiv,1
71,abracadabra,1
72,abracadabrant,1
73,abraziune,1
74,abraziv,1
30759,abraș,0
75,abrevia,1
76,abreviativ,1
77,abreviator,1
78,abreviație,1
79,abroga,1
80,abrogație,1
81,abrupt,1
82,abrutiza,1
83,abrutizant,1
84,abscisă,1
85,abscizie,1
86,absciziune,1
87,abscons,1
88,absent,1
89,absenta,1
90,absenteism,1
91,absenteist,1
92,absență,1
93,absidial,1
94,absidiolă,1
95,absidă,1
96,absint,1
97,absintism,1
98,absolut,1
99,absolutism,1
100,absolutist,1
101,absoluțiune,1
102,absorbant,1
103,absorbi,1
104,absorbție,1
105,absorbțiometru,1
106,abstenționism,1
107,abstenționist,1
108,abstențiune,1
109,abstinent,1
110,abstinență,1
111,abstract,1
112,abstracție,1
113,abstracționism,1
114,abstracționist,1
115,abstrage,1
116,abstrus,1
117,absurd,1
118,absurditate,1
119,abulic,1
120,abulie,1
121,abunda,1
122,abundent,1
123,abundență,1
30760,aburca,0
124,abuz,1
125,abuza,1
126,abuziv,1
30761,abțigui,0
127,abține,1
30762,ac,0
128,acacia,1
30763,acadea,0
129,academic,1
130,academician,1
131,academie,1
132,academism,1
133,acadian,1
134,acaju,1
135,acalmie,1
136,acantacee,1
137,acantocefal,1
138,acantoză,1
139,acantă,1
140,acapara,1
30764,acar,0
30765,acaret,0
141,acarian,1
142,acaricid,1
143,acarioză,1
30766,acasă,0
144,acatafazie,1
145,acatalectic,1
146,acatalepsie,1
30767,acatist,0
147,acaustobiolit,1
30768,acaț,0
30769,accea,0
148,accede,1
149,accelera,1
150,accelerando,1
151,accelerator,1
152,accelerație,1
153,accelerograf,1
154,accelerometru,1
155,accent,1
156,accentua,1
157,accepta,1
158,acceptabil,1
159,acceptanță,1
160,acceptație,1
161,acceptor,1
162,accepție,1
163,acces,1
164,accesa,1
165,accesibil,1
166,accesibilitate,1
167,accesit,1
168,accesiune,1
169,accesoriu,1
170,accident,1
171,accidental,1
172,acciz,1
173,acciză,1
174,acefal,1
175,acefalie,1
30770,acel,0
30771,acela,0
30772,acele,0
176,aceracee,1
177,acerb,1
30773,aceră,0
30774,acest,0
30775,acesta,0
178,acetaldehidă,1
179,acetamidă,1
180,acetat,1
181,acetazolamidă,1
182,acetic,1
183,acetil,1
184,acetilacetic,1
185,acetilenic,1
186,acetilenă,1
187,acetilsalicilic,1
188,acetilură,1
189,acetobutirat,1
190,acetofenonă,1
191,acetonemie,1
192,acetonurie,1
193,acetonă,1
194,acetos,1
195,achenă,1
196,acherontic,1
197,acheuleean,1
198,achiesa,1
199,achilie,1
200,achinezie,1
30776,achingiu,0
201,achita,1
30777,achiu,0
202,achizitiv,1
203,achiziție,1
30778,aci,0
204,acianopsie,1
205,aciclic,1
206,acicul,1
207,acicular,1
208,acid,1
209,acidamină,1
210,acidificabil,1
211,acidificant,1
212,acidimetrie,1
213,acidimetru,1
214,aciditate,1
215,acidofil,1
216,acidoză,1
217,acidula,1
218,acil,1
219,acinos,1
220,acintuș,1
221,acioaie,1
222,acipenserid,1
30779,aciu,0
30780,aciua,0
223,aclama,1
224,aclamație,1
225,aclimata,1
226,aclimatație,1
227,aclinic,1
228,acnee,1
229,acneiform,1
30781,acoace,0
230,acoladă,1
30782,acolea,0
231,acolie,1
232,acolit,1
233,acomoda,1
234,acomodabil,1
235,acomodație,1
